id,operacional_system,processor,memory,graphics,fk_game_id
7d6810596a844773bf699cd74c6a4f841,,,,,,7d6810596a844773bf699cd74c6a4f84
7d6810596a844773bf699cd74c6a4f842,,,,,,7d6810596a844773bf699cd74c6a4f84
ea7721c6c2694e72813d3661bc68a2cb1,,,,,,ea7721c6c2694e72813d3661bc68a2cb
ea7721c6c2694e72813d3661bc68a2cb2,,,,,,ea7721c6c2694e72813d3661bc68a2cb
5d63b78c08184c10933a47874117db8c1,64-bit Windows 10 / 8.x / 7,1.8 GHz Intel Core 2 Duo / AMD K10 Dual-Core,4 GB,512 MB DirectX 10.1 Video Card (AMD Radeon HD5x00 Series  / Nvidia GeForce 500 Series / Intel HD 4000 or later),12 GB,5d63b78c08184c10933a47874117db8c
5d63b78c08184c10933a47874117db8c2,64-bit Windows 10 / 8.x / 7,2.3 GHz Intel Core i5 Processor or Equivalent,6 GB,1 GB DirectX 10.1 Video Card,15 GB,5d63b78c08184c10933a47874117db8c
8e83204e859041c899c692ba078c66581,"Windows 7, 8.1, 10 x64","Intel Core i3-4160 (2 * 3600) or equivalent, AMD Phenom II X4 965 (4 * 3400) or equivalent",8 GB RAM,"GeForce GT 730 (2048 MB), Radeon R7 260X (2048 MB)",2 GB available space,8e83204e859041c899c692ba078c6658
8e83204e859041c899c692ba078c66582,"Windows 7, 8.1, 10 x64","Intel Core i5-2500K (4 * 3300) or equivalent, AMD FX-6350 (6 * 3900) or equivalent",8 GB RAM,"GeForce GTX 660 (2048 MB), Radeon RX 550 (2048 MB)",2 GB available space,8e83204e859041c899c692ba078c6658
a5dbe3de0fb14e029d78f85b25e89ca61,Microsoft® Windows® XP,1.8 GHz Processor,4 GB RAM,, 1 GB available space,a5dbe3de0fb14e029d78f85b25e89ca6
a5dbe3de0fb14e029d78f85b25e89ca62,Microsoft® Windows® XP,1.8 GHz Processor,4 GB RAM,, 1 GB available space,a5dbe3de0fb14e029d78f85b25e89ca6
5a9a0a7fd1bd47a8a5c39a903f6c25a11,Windows 10 (64bit version only),Intel® Core™ i5-6600 / AMD Ryzen™ 5 2500X,8,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),30,5a9a0a7fd1bd47a8a5c39a903f6c25a1
5a9a0a7fd1bd47a8a5c39a903f6c25a12,Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,@1080p NVIDIA GeForce® GTX 1660 Ti / Radeon™ RX Vega 56 | @4K NVIDIA GeForce® RTX 2070 / Radeon™ RX 5700 XT,30,5a9a0a7fd1bd47a8a5c39a903f6c25a1
5207cdd79e9145d0bbb947c6bd3699a31,Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 460 or AMD equivalent,7 GB available space,5207cdd79e9145d0bbb947c6bd3699a3
5207cdd79e9145d0bbb947c6bd3699a32,Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 660 or AMD Radeon HD 7950,7 GB available space,5207cdd79e9145d0bbb947c6bd3699a3
12985b3ba6c24b35936aa3c2d80b06781,Windows 7,Intel i3 2100 (3.10 GHZ) / AMD Phenom Quad Core 9950 (2.61 GHZ),8 GB RAM,AMD Radeon HD 5750 (1GB) / NVIDIA GeForce GTX 465 (1GB),5 GB available space,12985b3ba6c24b35936aa3c2d80b0678
12985b3ba6c24b35936aa3c2d80b06782,Windows 10 64 Bit,Intel i3 8100 (3.6 GHz) / AMD Ryzen 3 2200G (3.5 GHz),16 GB RAM,Nvidia GeForce GTX 1060 (3 GB) / AMD Radeon HD 7950 (3 GB),5 GB available space,12985b3ba6c24b35936aa3c2d80b0678
53200ce50d844cdfb7deaa2165cb86d21,Windows® XP / Windows Vista® / Windows® 7 (only), 3.0 GHz Intel® Pentium® 4 or 1.8 GHz AMD Athlon™ 64 3000+,"1 GB Windows XP / 1.5 GB Windows Vista, 7",128 MB DirectX® 9.0c-compliant video card or higher* (see supported list),,53200ce50d844cdfb7deaa2165cb86d2
53200ce50d844cdfb7deaa2165cb86d22,Windows® XP / Windows Vista® / Windows® 7 (only),2.0 GHz Intel® Core™2 Duo E4400 or 2.0 GHz AMD Athlon™ X2 3800+ or better,2 GB recommended,128 MB DirectX® 9.0c-compliant video card or higher* (see supported list),,53200ce50d844cdfb7deaa2165cb86d2
b97dde971aca4341a670456ef323503c1,Windows 7,2 GHZ, 4 GB,512MB Video,1 GB,b97dde971aca4341a670456ef323503c
b97dde971aca4341a670456ef323503c2,Windows 10,2 GHZ, 4 GB,512MB Video,1 GB,b97dde971aca4341a670456ef323503c
13cc10ad974841a6b0a5c3c23d2d1f221,Windows 10 (64bit),Intel Core i5-6600K,6GB RAM,GeForce GTX 750 Ti,4GB,13cc10ad974841a6b0a5c3c23d2d1f22
13cc10ad974841a6b0a5c3c23d2d1f222,Windows 10 (64bit),Intel Core i5-6600K,8GB RAM,GeForce GTX 750 Ti,4GB,13cc10ad974841a6b0a5c3c23d2d1f22
66b23edfb87f4cf881de4b6c4dab2e161,,,,,,66b23edfb87f4cf881de4b6c4dab2e16
66b23edfb87f4cf881de4b6c4dab2e162,,,,,,66b23edfb87f4cf881de4b6c4dab2e16
e7946db0d53a418e8cb17a92dd908cd51,"Windows XP, Vista, 7, 8, 10",2GHz,2GB RAM,128MB,1GB,e7946db0d53a418e8cb17a92dd908cd5
e7946db0d53a418e8cb17a92dd908cd52,"Windows XP, Vista, 7, 8, 10",2GHz,2GB RAM,512MB,1GB,e7946db0d53a418e8cb17a92dd908cd5
8e407b7130594f55ae16261a1069f83f1,Windows Vista SP2 or Windows 7,Intel Core®2 Duo E6700 @ 2.6 GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz,2 GB RAM,,4 GB HD space,8e407b7130594f55ae16261a1069f83f
8e407b7130594f55ae16261a1069f83f2,Windows 7 64-bit / Windows 8,Quad-core Intel or AMD CPU,4 GB recommended,,5 GB HD space,8e407b7130594f55ae16261a1069f83f
12193f976e3342769eb7448cfe19cf021,OSX 10.9 Mavericks,2 GHz,2 GB RAM,OpenGL 2.0 with ARB or EXT Framebuffer Objects,500 MB available space,12193f976e3342769eb7448cfe19cf02
12193f976e3342769eb7448cfe19cf022,OSX 10.9 Mavericks,2 GHz,2 GB RAM,OpenGL 2.0 with ARB or EXT Framebuffer Objects,500 MB available space,12193f976e3342769eb7448cfe19cf02
d02607edf33e45538193c458f78d9e8d1,Windows 7 or above,2.4 GHz Dual core,2 GB,,550 MB,d02607edf33e45538193c458f78d9e8d
d02607edf33e45538193c458f78d9e8d2,Windows 10,2.4 GHz Dual core,2 GB,,550 MB,d02607edf33e45538193c458f78d9e8d
a9748abde1c94b66aae5250bb9fc55031,Microsoft® Windows 7,"2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices",2 GB RAM,DirectX 10 compatible graphics card,1.5 GB Available Space,a9748abde1c94b66aae5250bb9fc5503
a9748abde1c94b66aae5250bb9fc55032,Microsoft® Windows 10,"2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices",8 GB RAM,DirectX 10 compatible graphics card,3 GB Available Space,a9748abde1c94b66aae5250bb9fc5503
1bde6a2f316a4013b35af717249f11911,Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB,ATI or NVIDIA card w/512 MB RAM,8 GB,1bde6a2f316a4013b35af717249f1191
1bde6a2f316a4013b35af717249f11912,Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB,,8 GB,1bde6a2f316a4013b35af717249f1191
f6fb771bec434d1082cc419b9b4b8bfb1,Windows 10 64bit,Intel ® Core™ i3-4150 or better (Must support AVX),8GB RAM,NVIDIA GeForce® GT430 / AMD Radeon™ HD5570 graphics cards equivalent or better,103GB,f6fb771bec434d1082cc419b9b4b8bfb
f6fb771bec434d1082cc419b9b4b8bfb2,Windows 10 64bit,Intel ® Core™ i9-10900,16GB RAM,NVIDIA® GeForce® RTX 2070 SUPER / AMD Radeon™ RX 5700 XT,103GB,f6fb771bec434d1082cc419b9b4b8bfb
0c90d229f27a4251beee8b4776a8fb441,OSX 10.0+ (64-bit Systems Only),2.2 GHz Dual Core,2 GB RAM,,350 MB of available space,0c90d229f27a4251beee8b4776a8fb44
0c90d229f27a4251beee8b4776a8fb442,Requires a 64-bit processor and operating system,2.9 GHz Dual Core,4 GB RAM,,400 MB of available space,0c90d229f27a4251beee8b4776a8fb44
26c8bec5ae4f44b6b942b9564e81cafc1,"Win7, 8.1, or 10 (64-Bit versions)",Intel Core i5-3570 or AMD Ryzen 3 1300X,8GB,Nvidia GTX 780 3GB or AMD R9 280 3GB,50GB,26c8bec5ae4f44b6b942b9564e81cafc
26c8bec5ae4f44b6b942b9564e81cafc2,"Win7, 8.1, or 10 (64-Bit versions)",Intel Core i7-4770 or AMD Ryzen 5 1600X,8GB,Nvidia GTX 1070 8GB or AMD Vega 56 8GB,50GB,26c8bec5ae4f44b6b942b9564e81cafc
1b07cc6ec13140b385f34e57b4e97e9b1,Microsoft Windows® 7/8/8.1/10 64bit,Pentium 4 3ghz,1 GB RAM,Nvidia Geforce 7950GT,3 GB,1b07cc6ec13140b385f34e57b4e97e9b
1b07cc6ec13140b385f34e57b4e97e9b2,Microsoft Windows® 7/8/8.1/10 64bit,Intel Core i3,4 GB RAM,Nvidia Geforce 710GT,3 GB,1b07cc6ec13140b385f34e57b4e97e9b
623106d906bd4a129de745d52a94ec461,Windows 7/8/10 (64 bits),Intel Core i3-2125 (3.3 GHz)/AMD FX-4100 (3.6 GHz),4 GB,"2 GB, GeForce GTX 660/Radeon R7 370",2 GB,623106d906bd4a129de745d52a94ec46
623106d906bd4a129de745d52a94ec462,Windows 7/8/10 (64 bits),Intel Core i7-3820 (3.6 GHz)/AMD FX-8350 (4.0 GHz),8 GB,"2 GB, GeForce GTX 760/Radeon R9 280",2 GB,623106d906bd4a129de745d52a94ec46
d8970826d8bb4d599a74ad990eb8ae011,OSX 10.10 or later,2 GHZ,256 MB,,300 MB,d8970826d8bb4d599a74ad990eb8ae01
d8970826d8bb4d599a74ad990eb8ae012,OSX 10.10 or later,2 GHZ,256 MB,,300 MB,d8970826d8bb4d599a74ad990eb8ae01
71f7b3d1755744e5b85d73b9b32e58311,64-bit Windows 7 / 8 / 10,Intel Core i5-670,4 GB RAM,GeForce GTX650,24.0 GB,71f7b3d1755744e5b85d73b9b32e5831
71f7b3d1755744e5b85d73b9b32e58312,64-bit Windows 7 / 8 / 10,Intel Core i7 4770k,8 GB RAM,GeForce GTX970,30.0 GB,71f7b3d1755744e5b85d73b9b32e5831
71a3dc24257843ad85ef77d102c2ef121,64 bit Windows,Multicore with SSE2 instruction set support,4GB RAM,1GB DX9 (shader model 3.0),1GB,71a3dc24257843ad85ef77d102c2ef12
71a3dc24257843ad85ef77d102c2ef122,64 bit Windows,Multicore with SSE2 instruction set support,8GB RAM,1GB DX9 (shader model 3.0),1GB,71a3dc24257843ad85ef77d102c2ef12
9c215f76f328458dbeadf56bee06926d1,64 bit Windows,Multicore with SSE2 instruction set support,4 GB RAM, 1 GB DX9 (shader model 3.0),,9c215f76f328458dbeadf56bee06926d
9c215f76f328458dbeadf56bee06926d2,64 bit Windows,Multicore with SSE2 instruction set support,8 GB RAM, 1 GB DX9 (shader model 3.0),,9c215f76f328458dbeadf56bee06926d
5d921696022d4bbe850c76be8c9bc98f1,Mac OS X 10.6 or later,2Ghz or better,1 GB RAM, 1280x768 minimum resolution,700 MB available space,5d921696022d4bbe850c76be8c9bc98f
5d921696022d4bbe850c76be8c9bc98f2,Mac OS X 10.6 or later,2Ghz or better,1 GB RAM, 1280x768 minimum resolution,700 MB available space,5d921696022d4bbe850c76be8c9bc98f
8401414902e84f2cb9afa9142f051d321,"7, 8, 10 (x64)",Intel core i3 (3rd generation),8 GB,GeForce GTX 660,7 GB,8401414902e84f2cb9afa9142f051d32
8401414902e84f2cb9afa9142f051d322,"7, 8, 10 (x64)",Intel core i5 (4th generation),8 GB,GeForce GTX 1060,7 GB,8401414902e84f2cb9afa9142f051d32
78551ede85d5424ba1d28a5f549b59051,Windows 7/8/10 64-bit,AMD / Intel Dual Core with 3.0 GHz,4 GB,Geforce GTX 460 or Radeon HD 7770 with 2 GB of VRAM,20 GB,78551ede85d5424ba1d28a5f549b5905
78551ede85d5424ba1d28a5f549b59052,Windows 10 64-bit,AMD / Intel Dual Core with 3.0 GHz,8 GB,Geforce GTX 960 or Radeon R9 380 with 4 GB of VRAM,,78551ede85d5424ba1d28a5f549b5905
afded2bee4b4421981e30547bfe306361,Windows 7® SP1,Intel Core®2 Duo E4400 @ 2.0 Ghz or AMD Athlon64 X2 3800+ @ 2.0GHZ,2 GB,,,afded2bee4b4421981e30547bfe30636
afded2bee4b4421981e30547bfe306362,Windows® 7 (SP1) / Windows® 8,Intel Core®2 Duo E6700 @ 2.6 GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz or better,,,,afded2bee4b4421981e30547bfe30636
e8f40aec9dbe49d4a3e98a9908382fdb1,Windows 7 64 Bit,Intel Core i3 3.0 GHz,4GB,NVIDIA GeForce GTX 670,2GB,e8f40aec9dbe49d4a3e98a9908382fdb
e8f40aec9dbe49d4a3e98a9908382fdb2,Windows 10 64 Bit,Intel Core i5 3.4 GHz,8GB,NVIDIA GeForce GTX 760,4GB,e8f40aec9dbe49d4a3e98a9908382fdb
78ef30a57d9a4f7da54ff00dc257dd4c1,"Windows XP, Vista, 7, 8, 10",Intel Celeron 807UE @ 1 GHz or AMD Sempron @ 1.3 GHz,256 MB RAM,,1 GB HD space,78ef30a57d9a4f7da54ff00dc257dd4c
78ef30a57d9a4f7da54ff00dc257dd4c2,"Windows XP, Vista, 7, 8, 10",Intel Celeron 807UE @ 1 GHz or AMD Sempron @ 1.3 GHz,256 MB RAM,,1 GB HD space,78ef30a57d9a4f7da54ff00dc257dd4c
3119a7edcaaa45208cd45818b951c0cd1,,,,,,3119a7edcaaa45208cd45818b951c0cd
3119a7edcaaa45208cd45818b951c0cd2,,,,,,3119a7edcaaa45208cd45818b951c0cd
1c27856d15bc466fb60e84d6ecab790e1,Windows 7 or newer,Intel(R) Core(TM) i5-650 / AMD FX-6300,,Nvidia GeForce GTX 660 2GB / AMD Radeon R9 280 3GB,,1c27856d15bc466fb60e84d6ecab790e
1c27856d15bc466fb60e84d6ecab790e2,Windows 7 or newer,Intel(R) Core(TM) i7-4770K / AMD Ryzen 5 1500x,,Nvidia GeForce GTX 1050 4GB / AMD Radeon RX 570 4GB,,1c27856d15bc466fb60e84d6ecab790e
3cca0612b6334f5cb610d1379a39ad6c1,Windows XP SP3,AMD/INTEL DUAL-CORE 2.5 GHZ,2048 MB, 256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON X1800 GTO/NVIDIA GEFORCE 7600 GT/INTEL HD 3000 OR HIGHER,20 GB,3cca0612b6334f5cb610d1379a39ad6c
3cca0612b6334f5cb610d1379a39ad6c2,Windows 7,AMD/INTEL DUAL-CORE 3GHZ,4096 MB, 256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON X1800 GTO/NVIDIA GEFORCE 7600 GT/INTEL HD 3000 OR HIGHER,,3cca0612b6334f5cb610d1379a39ad6c
6e74cc0851a641b8b317cdc743fc6e1d1,Windows 7+,Intel® Core™ i3-3220T @ 2.80GHz / AMD Phenom II X4 820 @ 2.8 GHz,4 GB,NVIDIA® GeForce® GTX 750(2GB VRAM) / AMD Radeon™ Pro 460 (2GB VRAM),5 GB,6e74cc0851a641b8b317cdc743fc6e1d
6e74cc0851a641b8b317cdc743fc6e1d2,Windows® 10 64-bit,Intel® Core™ i5-6600K @ 3.5GHz / AMD Ryzen™ 3 2200G @ 3.5GHz,8 GB,NVIDIA® GeForce® GTX 960(4GB VRAM) / AMD Radeon™ Pro 570 (4GB VRAM),5 GB,6e74cc0851a641b8b317cdc743fc6e1d
db122f42b41f4dec927e0f280cf653bd1,Mac OS X 10.11 or higher,"Intel Core2 Duo E4500 (2 * 2200) or equivalent, AMD Athlon 64 X2 Dual Core 3600+ (2 * 1910) or equivalent",2 GB,,200 MB,db122f42b41f4dec927e0f280cf653bd
db122f42b41f4dec927e0f280cf653bd2,Mac OS X 10.11 or higher,"Intel Core2 Duo E6750 (2 * 2660) or equivalent, AMD Athlon 64 X2 Dual Core 5000+ (2 * 2600) or equivalent",2 GB,,200 MB,db122f42b41f4dec927e0f280cf653bd
9ecd14794cb545d4b857c0ec189393b51,Windows 10,"X64 Quad Core CPU 2GHz, Intel Core i3-8100",4GB,"Discrete GPU with 2GB VRAM, eg GeForce GTX 660",14GB,9ecd14794cb545d4b857c0ec189393b5
9ecd14794cb545d4b857c0ec189393b52,Windows 10,"X64 Quad Core CPU 2GHz, eg Intel Core i5-9600K ",8GB,"Discrete GPU with 4GB VRAM, eg GeForce GTX 1060",20GB,9ecd14794cb545d4b857c0ec189393b5
70f924d7ae9b4cfdaf32a00722c6d15b1,"Windows Vista SP2, Windows 7 SP1, Windows 8 or Windows 8.1",Intel Core i3 550 @ 3.2 GHz or AMD Athlon II X4 620 @ 2.6 GHz,3 GB,,,70f924d7ae9b4cfdaf32a00722c6d15b
70f924d7ae9b4cfdaf32a00722c6d15b2,"Windows Vista SP2, Windows 7 SP1, Windows 8 or Windows 8.1",Intel Core i5 2400s @ 2.5 GHz or AMD Phenom II X4 955 @ 3.2 GHz,4 GB,,,70f924d7ae9b4cfdaf32a00722c6d15b
a1968dc00efe493aa861fc74da459c5e1,Windows® 2000/XP,Pentium® III or AMD Athlon™ 800 MHz,256 MB or above,,,a1968dc00efe493aa861fc74da459c5e
a1968dc00efe493aa861fc74da459c5e2,Windows® 2000/XP,Pentium® III or AMD Athlon™ 800 MHz,256 MB or above,,,a1968dc00efe493aa861fc74da459c5e
2a86fd76da8b4c999ad5ec166b17896d1,Windows® XP,3 Ghz Pentium 4 or AMD Athlon 3000 (3.5 Ghz Pentium 4 or Athlon 3500 Recommended) - Game optimized for dual-Processeur-enabled computers.,1 GB,,,2a86fd76da8b4c999ad5ec166b17896d
2a86fd76da8b4c999ad5ec166b17896d2,Windows® XP,3 Ghz Pentium 4 or AMD Athlon 3000 (3.5 Ghz Pentium 4 or Athlon 3500 Recommended) - Game optimized for dual-Processeur-enabled computers.,1.5 GB,,,2a86fd76da8b4c999ad5ec166b17896d
cb1570a8b78e4a7cacb8851d0f3f68731,"Windows XP, Vista, 7, 8 or later",2.0 GHz,4 GB RAM,,,cb1570a8b78e4a7cacb8851d0f3f6873
cb1570a8b78e4a7cacb8851d0f3f68732,Windows 10,2.0 GHz,4 GB RAM,,,cb1570a8b78e4a7cacb8851d0f3f6873
191c05b719474e2fb2f68ff545312b941,Mac OS X 10.13+,2.5 GHz dual core,8 GB,Intel HD 4000 or better,1.4 GB,191c05b719474e2fb2f68ff545312b94
191c05b719474e2fb2f68ff545312b942,Mac OS X 10.13+,2.5 GHz dual core,8 GB,Intel HD 4000 or better,1.4 GB,191c05b719474e2fb2f68ff545312b94
16ca7a26e9274d768771378e152b2d001,Windows 7 (64-bit),Intel Core i3-6100 or AMD FX-6300,8 GB RAM,NVIDIA GeForce GTX 650 or AMD Radeon HD 6850,5 GB available space,16ca7a26e9274d768771378e152b2d00
16ca7a26e9274d768771378e152b2d002,Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,NVIDIA GeForce 1060 or AMD Radeon RX 570,5 GB available space,16ca7a26e9274d768771378e152b2d00
a56049eb0dce48e983f48666ccf21c101,Windows 10,Dual Core 2.0 GHz or faster,4 GB,"Nvidia GTS 450, AMD Radeon 7750, or newer graphics card",5 GB,a56049eb0dce48e983f48666ccf21c10
a56049eb0dce48e983f48666ccf21c102,Windows 10,Quad Core 2.5 GHz or faster,4 GB,"Nvidia GTX 550Ti, AMD Radeon 540, or newer graphics card",5 GB,a56049eb0dce48e983f48666ccf21c10
419b4e7fd0a443e4843d3e6d3cc18a981,,,,,,419b4e7fd0a443e4843d3e6d3cc18a98
419b4e7fd0a443e4843d3e6d3cc18a982,,,,,,419b4e7fd0a443e4843d3e6d3cc18a98
49f0e99eb9cf4262a5bff73a153358981,Windows 7 64 Bit,Intel i3 8100 (3.6 GHz) / AMD FX 6300 3.5 (GHz),8 GB, NVIDIA GeForce GTX 670 (2GB),2 GB,49f0e99eb9cf4262a5bff73a15335898
49f0e99eb9cf4262a5bff73a153358982, Windows 10 64 Bit,CPU: Intel Core i5 8600K (3.6 GHz),16 GB,Graphics: NVIDIA GeForce GTX 1050 Ti (4 GB),4 GB,49f0e99eb9cf4262a5bff73a15335898
d7173e5531f549f1ba523319aceefc531,Mac OS X 10.13+,Dual core 2.3 GHz,3 GB,Intel HD 3000 or better,530 MB,d7173e5531f549f1ba523319aceefc53
d7173e5531f549f1ba523319aceefc532,Mac OS X 10.13+,Dual core 2.3 GHz,3 GB,Intel HD 3000 or better,530 MB,d7173e5531f549f1ba523319aceefc53
9b68e26505c045759ab603efc2deab231,Windows 7,i5 and up,4 GB,GTX 960,5 GB,9b68e26505c045759ab603efc2deab23
9b68e26505c045759ab603efc2deab232,Windows 10,i7 ~3 Ghz / Ryzen 7,8 GB,GTX 1060,5 GB,9b68e26505c045759ab603efc2deab23
07c6a2e544274070b9e9ee78316c57741,,,,,,07c6a2e544274070b9e9ee78316c5774
07c6a2e544274070b9e9ee78316c57742,,,,,,07c6a2e544274070b9e9ee78316c5774
d91c5514b9c04a9bb7be5547f69be3b21,OS X 10.8.5,"1,3 GHz CPU",2 GB,Intel HD Graphics 5500,500 MB,d91c5514b9c04a9bb7be5547f69be3b2
d91c5514b9c04a9bb7be5547f69be3b22,OS X 10.9.1,Dual-core 2Ghz CPU,4 GB,"Intel Iris Pro, NVIDIA GTX 660 Ti, or AMD Radeon HD 7870 w/ 1024 MB",1 GB,d91c5514b9c04a9bb7be5547f69be3b2
0e854f777abf42bda3f244491bd5a31c1,Windows 7/8.1/10 x64,ntel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),3 GB available space,0e854f777abf42bda3f244491bd5a31c
0e854f777abf42bda3f244491bd5a31c2,Windows 7/8.1/10 x64,ntel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),3 GB available space,0e854f777abf42bda3f244491bd5a31c
72266ee0bb6f46b3b81f787f31eef6331,,,,,,72266ee0bb6f46b3b81f787f31eef633
72266ee0bb6f46b3b81f787f31eef6332,,,,,,72266ee0bb6f46b3b81f787f31eef633
f51ebf66eb42420bba6cdd7d87cf56af1,Windows® 7 SP1 / 8.1 / 10 64-bit,Intel® Core™ i3-3210 / AMD FX-4350,4 GB RAM,,5 GB,f51ebf66eb42420bba6cdd7d87cf56af
f51ebf66eb42420bba6cdd7d87cf56af2,Windows® 7 SP1 / 8.1 / 10 64-bit,Intel® Core™ i5-6400 / AMD Ryzen™ 3 1200,6 GB RAM,,5 GB,f51ebf66eb42420bba6cdd7d87cf56af
6b42c7ed7e574e54bdef8e77f71d93331,"64-bit Windows 7, Windows 8.1, Windows 10","Intel Core i5 3570, AMD FX-6350",8 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",35 GB,6b42c7ed7e574e54bdef8e77f71d9333
6b42c7ed7e574e54bdef8e77f71d93332,"64-bit Windows 7, Windows 8.1, Windows 10","Intel Core i7-4790, AMD FX-8350",16 GB,"NVIDIA GTX 1060 3GB, AMD RX 480 4GB",,6b42c7ed7e574e54bdef8e77f71d9333
000f9a594ed44b3981272946d330d9681,Windows 7 (64-bit),Intel Core i3-530,4 GB,NVIDIA GeForce GTX 470,5 GB available space,000f9a594ed44b3981272946d330d968
000f9a594ed44b3981272946d330d9682,Windows 10 (64-bit),Intel Core i5,8 GB,NVIDIA GeForce GTX 760,10 GB available space,000f9a594ed44b3981272946d330d968
c4f3c186c273404695ac6639c272b1951,Windows 7 / 8 / 10 64 bit,2.0 GHz CPU,4 GB,Intel HD 4000 or equivalent with 1 GB VRAM,10 GB,c4f3c186c273404695ac6639c272b195
c4f3c186c273404695ac6639c272b1952,Windows 7 / 8 / 10 64 bit,Intel i5 2.5 GHZ,8 GB,NVIDIA GeForce GTX 950 or equivalent,,c4f3c186c273404695ac6639c272b195
ca85810710fc4b858d73e059f0b169a51,Windows 7,"Intel Core i5-3330 3.0 GHz, AMD FX-8300 3.3 GHz",4 GB,"NVIDIA GeForce GTX 1050Ti, Radeon RX 560",6 GB,ca85810710fc4b858d73e059f0b169a5
ca85810710fc4b858d73e059f0b169a52,Windows 10,"Intel Core i5-4690 3.5 GHz, AMD Ryzen 3 1300X 3.5 GHz",6 GB,Geforce GTX 1060 / Radeon RX 580 or equivalent,,ca85810710fc4b858d73e059f0b169a5
8bc23f97d2c34480a9fd14b5995f75711,Windows 7 (64-bit) or newer, Intel Core i3-4130 / Phenom x4 955,4 GB RAM,GeForce GTX 560 / AMD R7-260X,4 GB,8bc23f97d2c34480a9fd14b5995f7571
8bc23f97d2c34480a9fd14b5995f75712,Windows 7 (64-bit) or newer,Intel Core i5-8400 / AMD Ryzen 5 1600,8 GB RAM,GeForce GTX 650 / AMD Radeon RX 580,4 GB,8bc23f97d2c34480a9fd14b5995f7571
fa8c1bd0dd684af2ad27a4f54b74018f1,10.14,Anything AMD or Intel from the past 5 years,6 GB,Anything AMD or Nvidia from the past 5 years,8 GB,fa8c1bd0dd684af2ad27a4f54b74018f
fa8c1bd0dd684af2ad27a4f54b74018f2,10.14,Anything AMD or Intel from the past 5 years,6 GB,Anything AMD or Nvidia from the past 5 years,8 GB,fa8c1bd0dd684af2ad27a4f54b74018f
b22566003429427b8a9ebe215773f2261,"Windows XP, Vista, 7, 8, 10",1.4GHz processor or faster,2 GB RAM,Integrated graphics should be fine,500 MB,b22566003429427b8a9ebe215773f226
b22566003429427b8a9ebe215773f2262,"Windows XP, Vista, 7, 8, 10",1.4GHz processor or faster,2 GB RAM,NVIDIA or AMD dedicated graphics with 1GB VRAM,500 MB,b22566003429427b8a9ebe215773f226
e44a32ca3f094b38ac16682645105d011,Windows 7 or later,Intel Core i5,2GB,Nvidia Geforce GTX 550/equivalent or higher,738MB,e44a32ca3f094b38ac16682645105d01
e44a32ca3f094b38ac16682645105d012,Windows 10,High-range Intel Core i5,4GB,Nvidia Geforce GTX 760/equivalent or higher,3GB,e44a32ca3f094b38ac16682645105d01
ad7ac875f97746d5a540e0d8500728601,Windows 10 (64-bit versions),AMD Ryzen 3 1300X / Intel Core i3-9100 @ 3.5 GHz,8 GB,"AMD/Nvidia dedicated GPU, 4 GB dedicated VRAM and Shader Model 5.1 (Nvidia Geforce GTX 960 or AMD Radeon r9 285)",10 GB available space,ad7ac875f97746d5a540e0d850072860
ad7ac875f97746d5a540e0d8500728602,Windows 10 (64-bit versions),AMD Ryzen 5 3600X / Intel Core i3-9100 @ 3.6 GHz,16 GB,"AMD/Nvidia dedicated GPU, 6 GB dedicated VRAM and Shader Model 6.1 (Nvidia Geforce GTX 980Ti or AMD Radeon RX 5600XT)",10 GB available space,ad7ac875f97746d5a540e0d850072860
