id,operacional_system,processor,memory,graphics,fk_game_id
7981b6d8a37142b9aed96155b93ff8da2,"Windows Vista, Windows 7 SP1, Windows 8/8.1 (32/64bit versions)",Intel Core2Quad Q8400 @ 2.6 GHz or AMD Athlon II X4 620 @ 2.6 GHz,4 GB RAM,nVidia GeForce GTX260 or AMD Radeon HD4870 (512MB VRAM with Shader Model 4.0 or higher),3 GB available space,7981b6d8a37142b9aed96155b93ff8da
9a03fddd502943d2af8c94daeb667b041,Windows 7 32-bit,Dual Core CPU - 2.6ghz,4 GB RAM,1GB VRAM: Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,3 GB available space,9a03fddd502943d2af8c94daeb667b04
9a03fddd502943d2af8c94daeb667b042,Windows 7 32-bit,Dual Core CPU - 2.6ghz,4 GB RAM,1GB VRAM: Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,3 GB available space,9a03fddd502943d2af8c94daeb667b04
61b641c3702f4770ac525101b39f00631,Windows 7+,1.7 GHz,1 GB,1280x720 Minimum Resolution,200 MB,61b641c3702f4770ac525101b39f0063
61b641c3702f4770ac525101b39f00632,Windows 7+,1.7 GHz,1 GB,TBD,200 MB,61b641c3702f4770ac525101b39f0063
84505cf3bfd8411288bb15489ca8ed481,"Windows®XP SP3, Windows Vista/7/8 with latest service packs and updates installed",Intel Core 2 Duo or equivalent AMD dual core CPU,2 GB RAM,"NVIDIA GeForce 7600GS or ATI Radeon 1950, 256 Mb RAM",10 GB available space,84505cf3bfd8411288bb15489ca8ed48
84505cf3bfd8411288bb15489ca8ed482,Windows XP/Vista/7/8,"Intel i5, 4 x 2.6 GHz or AMD equivalent",4 GB RAM,"NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better, 1Gb RAM",10 GB available space,84505cf3bfd8411288bb15489ca8ed48
534710b9b01d46b49a8d31ce5ad8ff361,"Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)",Intel Core i5-2500K @ 3.3 GHz or AMD FX-8350 @ 4.0 GHz,6 GB RAM, NVIDIA GeForce GTX 680 or AMD Radeon HD 7970 (2 GB VRAM),50 GB available space,534710b9b01d46b49a8d31ce5ad8ff36
534710b9b01d46b49a8d31ce5ad8ff362,"Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)",Intel Core i7-3770 @ 3.4 GHz or AMD FX-8350 @ 4.0 GHz or better,8 GB RAM,NVIDIA GeForce GTX 780 or AMD Radeon R9 290X (3 GB VRAM),50 GB available space,534710b9b01d46b49a8d31ce5ad8ff36
2263134da81944f4aedb1977049ef2da1,10.6,"Intel(R) Core(TM)2 Duo 2.4, AMD Athlon(TM) X2 2.8 Ghz",2 GB RAM,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",,2263134da81944f4aedb1977049ef2da
2263134da81944f4aedb1977049ef2da2,10.6,"Intel(R) Core(TM)2 Quad 2.7 Ghz, AMD Phenom(TM)II X4 3 Ghz",4 GB RAM,"GeForce GTX 260, Radeon HD 5770, 1024 MB, Shader Model 3.0",,2263134da81944f4aedb1977049ef2da
f2546a46804147bfb6ab74937caf92951,Windows XP / Vista / 7 / 8,2 Ghz Dual Core or higher,512 MB RAM,,650 MB available space,f2546a46804147bfb6ab74937caf9295
